Title,Date
"Dark: Season 3: The Origin","4/29/21"
"Dark: Season 3: Adam and Eva","4/28/21"
"Dark: Season 3: The Survivors","4/28/21"
"Dark: Season 3: Deja-vu","4/26/21"
"Dark: Season 2: Endings and Beginnings","4/26/21"
"Dark: Season 2: The White Devil","4/26/21"
"Dark: Season 2: An Endless Cycle","4/26/21"
"Dark: Season 2: Lost and Found","4/25/21"
"Dark: Season 2: The Travelers","4/25/21"
"Dark: Season 2: Ghosts","4/25/21"
"Dark: Season 2: Dark Matter","4/23/21"
"Dark: Season 2: Beginnings and Endings","4/22/21"
"Dark: Season 1: Alpha and Omega","4/21/21"
"Dark: Season 1: Everything Is Now","4/21/21"
"Dark: Season 1: As You Sow, So You Shall Reap","4/21/21"
"Dark: Season 1: Crossroads","4/20/21"
"Dark: Season 1: Sic Mundus Creatus Est","4/20/21"
"Dark: Season 1: Truths","4/19/21"
"Dark: Season 1: Double Lives","4/18/21"
"Dark: Season 1: Past and Present","4/14/21"
"Dark: Season 1: Lies","4/12/21"
"Dark: Season 1: Secrets","4/11/21"
"Rick and Morty: Season 4: Star Mort Rick Turn of the Jerri","4/11/21"
"MINDHUNTER: Season 1: Episode 10","4/10/21"
"MINDHUNTER: Season 1: Episode 9","4/9/21"
"MINDHUNTER: Season 1: Episode 8","4/5/21"
"MINDHUNTER: Season 1: Episode 7","4/5/21"
"Rick and Morty: Season 4: Childrick of Mort","4/3/21"
"Homeland: Season 8: Prisoners of War","3/27/21"
"Homeland: Season 8: The English Teacher","3/26/21"
"Homeland: Season 8: Designated Driver","3/25/21"
"Homeland: Season 8: In Full Flight","3/24/21"
"MINDHUNTER: Season 1: Episode 6","3/23/21"
"MINDHUNTER: Season 1: Episode 5","3/23/21"
"MINDHUNTER: Season 1: Episode 4","3/21/21"
"Homeland: Season 8: Threnody(S)","3/21/21"
"MINDHUNTER: Season 1: Episode 3","3/20/21"
"Homeland: Season 8: F**ker Shot Me","3/20/21"
"Homeland: Season 8: Two Minutes","3/18/21"
"Homeland: Season 8: Chalk Two Down","3/17/21"
"Homeland: Season 8: Chalk One Up","3/16/21"
"Modern Family: Season 11: Finale: Part 2","3/16/21"
"Modern Family: Season 11: Finale: Part 1","3/15/21"
"Modern Family: Season 11: I'm Going to Miss This","3/15/21"
"Homeland: Season 8: False Friends","3/14/21"
"Modern Family: Season 11: Baby Steps","3/14/21"
"Homeland: Season 8: Catch and Release","3/13/21"
"Modern Family: Season 11: Spuds","3/13/21"
"Modern Family: Season 11: Paris","3/13/21"
"Modern Family: Season 11: Dead on a Rival","3/13/21"
"Homeland: Season 8: Deception Indicated","3/12/21"
"Modern Family: Season 11: Legacy","3/12/21"
"Homeland: Season 7: Paean to the People","3/10/21"
"Homeland: Season 7: All In","3/9/21"
"Modern Family: Season 11: The Prescott","3/9/21"
"Homeland: Season 7: Clarity","3/8/21"
"Modern Family: Season 11: The Last Christmas","3/8/21"
"Homeland: Season 7: Useful Idiot","3/6/21"
"Homeland: Season 7: Lies, Amplifiers, Fucking Twitter","3/6/21"
"Modern Family: Season 11: Tree's a Crowd","3/6/21"
"Homeland: Season 7: Andante","3/5/21"
"Homeland: Season 7: Species Jump","3/5/21"
"Modern Family: Season 11: The Last Thanksgiving","3/5/21"
"Modern Family: Season 11: A Game of Chicken","3/5/21"
"Modern Family: Season 11: The Last Halloween","3/5/21"
"Homeland: Season 7: Active Measures","3/5/21"
"Homeland: Season 7: Like Bad at Things","3/4/21"
"Homeland: Season 7: Standoff","3/4/21"
"Homeland: Season 7: Rebel Rebel","3/4/21"
"Modern Family: Season 11: Pool Party","3/4/21"
"Modern Family: Season 11: Perfect Pairs","3/3/21"
"Modern Family: Season 11: Snapped","3/3/21"
"Modern Family: Season 11: New Kids on the Block","3/3/21"
"Homeland: Season 7: Enemy of the State","2/22/21"
"Homeland: Season 6: America First","2/20/21"
"Homeland: Season 6: R for Romeo","2/19/21"
"Homeland: Season 6: The Flag House","2/19/21"
"Homeland: Season 6: Sock Puppets","2/19/21"
"Homeland: Season 6: Alt.Truth","2/16/21"
"MINDHUNTER: Season 1: Episode 2","2/16/21"
"Homeland: Season 6: Imminent Risk","2/15/21"
"Homeland: Season 6: The Return","2/14/21"
"Homeland: Season 6: Casus Belli","2/14/21"
"Homeland: Season 6: A Flash of Light","2/13/21"
"Homeland: Season 6: The Covenant","2/13/21"
"MINDHUNTER: Season 1: Episode 1","2/13/21"
"Homeland: Season 6: The Man in the Basement","2/12/21"
"Homeland: Season 6: Fair Game","2/12/21"
"Homeland: Season 5: A False Glimmer","2/11/21"
"Homeland: Season 5: Our Man in Damascus","2/11/21"
"Homeland: Season 5: New Normal","2/10/21"
"Homeland: Season 5: The Litvinov Ruse","2/9/21"
"Homeland: Season 5: All About Allison","2/8/21"
"Homeland: Season 5: Oriole","2/8/21"
"Homeland: Season 5: Parabiosis","2/7/21"
"Homeland: Season 5: Better Call Saul","2/7/21"
"Jeffrey Epstein: Filthy Rich: Limited Series: Finding Their Voice","2/7/21"
"Homeland: Season 5: Why Is This Night Different?","2/6/21"
"Homeland: Season 5: Super Powers","2/6/21"
"Homeland: Season 5: The Tradition of Hospitality","2/6/21"
"Homeland: Season 5: Separation Anxiety","2/5/21"
"Homeland: Season 4: Long Time Coming","2/5/21"
"Homeland: Season 4: Krieg Nicht Lieb","2/4/21"
"Homeland: Season 4: 13 Hours in Islamabad","2/4/21"
"Jeffrey Epstein: Filthy Rich: Limited Series: The Island","2/4/21"
"Homeland: Season 4: There's Something Else Going On","2/3/21"
"Homeland: Season 4: Halfway to a Donut","2/3/21"
"Jeffrey Epstein: Filthy Rich: Limited Series: Follow the Money","2/3/21"
"Jeffrey Epstein: Filthy Rich: Limited Series: Hunting Grounds","2/2/21"
"Homeland: Season 4: Redux","2/2/21"
"Homeland: Season 4: From A to B and Back Again","2/1/21"
"Homeland: Season 4: About a Boy","2/1/21"
"Homeland: Season 4: Iron in the Fire","1/31/21"
"Homeland: Season 4: Shalwar Kameez","1/31/21"
"Homeland: Season 4: Trylon and Perisphere","1/31/21"
"Homeland: Season 4: The Drone Queen","1/30/21"
"Homeland: Season 3: The Star","1/30/21"
"Homeland: Season 3: Big Man in Tehran","1/30/21"
"Lupin: Part 1: Chapter 5","1/29/21"
"Homeland: Season 3: Good Night","1/29/21"
"Homeland: Season 3: One Last Thing","1/29/21"
"Homeland: Season 3: A Red Wheelbarrow","1/29/21"
"Lupin: Part 1: Chapter 4","1/28/21"
"Homeland: Season 3: Gerontion","1/28/21"
"Homeland: Season 3: Still Positive","1/27/21"
"Lupin: Part 1: Chapter 3","1/26/21"
"Homeland: Season 3: The Yoga Play","1/26/21"
"Homeland: Season 3: Game On","1/26/21"
"Homeland: Season 3: Tower of David","1/25/21"
"Homeland: Season 3: Uh... Oh... Ah...","1/25/21"
"Homeland: Season 3: Tin Man is Down","1/24/21"
"Homeland: Season 2: The Choice","1/24/21"
"Homeland: Season 2: In Memoriam","1/23/21"
"Homeland: Season 2: Broken Hearts","1/23/21"
"Homeland: Season 2: Two Hats","1/22/21"
"Homeland: Season 2: I'll Fly Away","1/22/21"
"Homeland: Season 2: The Clearing","1/21/21"
"Homeland: Season 2: A Gettysburg Address","1/21/21"
"Homeland: Season 2: Q&A","1/20/21"
"Lupin: Part 1: Chapter 2","1/19/21"
"Lupin: Part 1: Chapter 1","1/18/21"
"Homeland: Season 2: New Car Smell","1/18/21"
"Homeland: Season 2: State of Independence","1/18/21"
"Homeland: Season 2: Beirut Is Back","1/17/21"
"Homeland: Season 2: The Smile","1/17/21"
"Homeland: Season 1: Marine One","1/16/21"
"Homeland: Season 1: The Vest","1/16/21"
"Homeland: Season 1: Representative Brody","1/16/21"
"Homeland: Season 1: Crossfire","1/16/21"
"Homeland: Season 1: Achilles Heel","1/16/21"
"Homeland: Season 1: The Weekend","1/16/21"
"Homeland: Season 1: The Good Soldier","1/15/21"
"Homeland: Season 1: Blind Spot","1/15/21"
"Homeland: Season 1: Semper I","1/14/21"
"Homeland: Season 1: Clean Skin","1/13/21"
"Homeland: Season 1: Grace","1/13/21"
"Homeland: Season 1: Pilot","1/12/21"
"Death to 2020","1/9/21"
"Pieces of a Woman","1/7/21"
"The Witcher: Season 1: Much More","1/6/21"
"The Witcher: Season 1: Before a Fall","1/6/21"
"Argo","1/6/21"
"The Witcher: Season 1: Rare Species","1/6/21"
"The Witcher: Season 1: Bottled Appetites","1/6/21"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","1/6/21"
"The Witcher: Season 1: Betrayer Moon","1/6/21"
"The Witcher: Season 1: Four Marks","1/6/21"
"Better Call Saul: Season 5: Something Unforgivable","1/6/21"
"Better Call Saul: Season 5: Bad Choice Road","1/6/21"
"The Witcher: Season 1: The End’s Beginning","1/5/21"
"Charlie Wilson's War","1/5/21"
"Better Call Saul: Season 5: Bagman","1/4/21"
"Better Call Saul: Season 5: JMM","1/4/21"
"No Country for Old Men","1/4/21"
"Better Call Saul: Season 5: Wexler v. Goodman","1/4/21"
"Better Call Saul: Season 5: Dedicado A Max","1/3/21"
"Better Call Saul: Season 5: Namaste","1/1/21"
"Better Call Saul: Season 5: The Guy For This","1/1/21"
"Better Call Saul: Season 5: 50% Off","12/31/20"
"Better Call Saul: Season 5: Magic Man","12/30/20"
"Better Call Saul: Season 4: Winner","12/30/20"
"Better Call Saul: Season 4: Wiedersehen","12/29/20"
"Better Call Saul: Season 4: Coushatta","12/29/20"
"Better Call Saul: Season 4: Something Stupid","12/29/20"
"Better Call Saul: Season 4: Piñata","12/29/20"
"Better Call Saul: Season 4: Quite a Ride","12/29/20"
"Better Call Saul: Season 4: Talk","12/29/20"
"Better Call Saul: Season 4: Something Beautiful","12/29/20"
"Better Call Saul: Season 4: Breathe","12/28/20"
"Better Call Saul: Season 4: Smoke","12/27/20"
"Better Call Saul: Season 3: Lantern","12/26/20"
"Better Call Saul: Season 3: Fall","12/26/20"
"Better Call Saul: Season 3: Slip","12/25/20"
"Better Call Saul: Season 3: Expenses","12/24/20"
"Better Call Saul: Season 3: Off Brand","12/22/20"
"Better Call Saul: Season 3: Chicanery","12/22/20"
"Better Call Saul: Season 3: Sabrosito","12/21/20"
"The Usual Suspects","12/21/20"
"How the Grinch Stole Christmas","12/19/20"
"Better Call Saul: Season 3: Sunk Costs","12/18/20"
"Dallas Buyers Club","12/17/20"
"Better Call Saul: Season 3: Witness","12/16/20"
"Better Call Saul: Season 3: Mabel","12/15/20"
"Klaus","12/13/20"
"The Nice Guys","12/12/20"
"Better Call Saul: Season 2: Klick","12/5/20"
"Better Call Saul: Season 2: Nailed","12/3/20"
"Better Call Saul: Season 2: Fifi","12/2/20"
"Better Call Saul: Season 2: Inflatable","12/2/20"
"Better Call Saul: Season 2: Bali Ha'i","12/2/20"
"Better Call Saul: Season 2: Rebecca","12/1/20"
"Better Call Saul: Season 2: Gloves Off","12/1/20"
"Better Call Saul: Season 2: Amarillo","11/29/20"
"Better Call Saul: Season 2: Cobbler","11/28/20"
"Better Call Saul: Season 2: Switch","11/25/20"
"The Crown: Season 2: Misadventure","11/24/20"
"The Queen's Gambit: Limited Series: End Game","11/23/20"
"The Queen's Gambit: Limited Series: Adjournment","11/23/20"
"The Queen's Gambit: Limited Series: Fork","11/20/20"
"The Crown: Season 1: Gloriana","11/20/20"
"The Crown: Season 1: Assassins","11/19/20"
"The Queen's Gambit: Limited Series: Middle Game","11/19/20"
"The Queen's Gambit: Limited Series: Doubled Pawns","11/17/20"
"The Queen's Gambit: Limited Series: Exchanges","11/17/20"
"The Crown: Season 1: Pride & Joy","11/16/20"
"The Queen's Gambit: Limited Series: Openings","11/16/20"
"The Crown: Season 1: Scientia Potentia Est","11/16/20"
"Better Call Saul: Season 1: Marco","11/15/20"
"Better Call Saul: Season 1: Pimento","11/15/20"
"Better Call Saul: Season 1: Rico","11/15/20"
"Better Call Saul: Season 1: Bingo","11/14/20"
"Better Call Saul: Season 1: Five-O","11/14/20"
"Rick and Morty: Season 4: The Vat of Acid Episode","11/14/20"
"Better Call Saul: Season 1: Alpine Shepherd Boy","11/14/20"
